Date,Invoice,Customer,Cash
2022-02-15,11e2043286,4512,10500
2022-02-05,959d0ceb3e,11454,200
2022-02-05,271313b843,11454,4900
2022-02-05,459b7be16d,11454,4900
2022-02-07,01507c85f4,11454,12000
2022-02-08,189a6c2eb8,11454,11000
2022-02-18,884fc0ebb0,18975,12000
2022-02-24,773f01a1c5,19141,6000
2022-02-24,23f680fa80,19141,9000
2022-02-24,b29bb670b6,19141,9500
2022-02-16,fe858eee51,11326,17000
2022-02-11,1c1bf985db,8857,10000
2022-02-11,ed44f4240c,8857,20000
2022-02-04,2996e8a7f1,11454,2200
2022-02-04,d4e6e8f8b2,11454,4900
2022-02-04,6f1bf7b850,11454,4900
2022-02-22,3f6f10ca17,9652,10000
2022-02-11,fb068b6c78,16650,33400
2022-02-25,c184fda8c5,7085,13600
2022-02-03,0fc09a9b71,18474,30500
2022-02-18,83bb7d289a,8857,10000
2022-02-18,fc118b9cdc,8857,400
2022-02-03,a11e0acacf,17384,25000
2022-02-21,7a21b05cba,11454,10000
2022-02-18,279277d593,18449,20000
2022-02-18,f4d4b9e638,18449,20000
2022-02-17,b6039f0c0c,11326,13000
2022-02-18,a2b47b55b8,18991,1980
2022-02-18,88326bb4b1,18991,6000
2022-02-18,89c6b41130,18991,4500
2022-02-18,6202791e75,18991,950
2022-02-16,cd71e5c9f5,735,11000
2022-02-22,2e95bed305,11454,15000
2022-02-10,b3de83feac,5993,12500
2022-02-24,8024e4df7d,11454,12200
2022-02-22,48845d5b8c,18975,10000
2022-02-18,247e4a283c,11454,15000
2022-02-25,64857173c0,12151,10000
2022-02-27,da3f4b23fe,18474,10000
2022-02-04,6da1524d24,18449,10000
2022-02-12,c7d20491b2,18679,11000
2022-02-12,03c11cca16,16650,10000
2022-02-24,5073e844ea,12151,10000
2022-02-18,93e8f3ad43,18898,10800
2022-02-15,f745bbcd62,17384,10500
2022-02-23,5b2dac9e18,18898,10160
2022-02-20,c5b5770db6,11454,15000
