Date,Invoice,Customer,Cash
2022-01-01,54d1c332a8,17061.0,20
2022-01-01,e60abf0d1a,17061.0,20
2022-01-01,364d430cd4,16171.0,20
2022-01-01,5f5c17c997,16824.0,50
2022-01-01,2b9ffc2ddd,17488.0,20
2022-01-01,2bc011d771,957.0,500
2022-01-01,974f8b7168,3678.0,4500
2022-01-01,1f2e02b30d,17490.0,70
2022-01-01,698c873456,5283.0,45
2022-01-01,a714931ed4,2088.0,300
2022-01-01,576bcb3cd2,17433.0,300
2022-01-01,46f0dc3118,11326.0,11000
2022-01-01,f76fdb0c9d,17067.0,830
2022-01-01,e7b400dcb3,3678.0,4500
2022-01-01,65b45c56de,12346.0,400
2022-01-01,e751ee615a,12346.0,300
2022-01-01,6fc819b5a1,3678.0,360
2022-01-01,37921169fa,16665.0,20
2022-01-01,4ce7216bc8,2252.0,800
2022-01-01,8f54b78bac,16186.0,400
2022-01-01,3968df0ff3,11323.0,450
2022-01-01,ec946b0b73,14265.0,20
2022-01-01,cebcd02a9d,11733.0,20
2022-01-01,de9e868b75,1195.0,570
2022-01-01,c590b56da4,9964.0,1500
2022-01-01,b2de143f6f,14547.0,995
2022-01-01,fcbe24ab3e,15382.0,20
2022-01-01,4b21c773ac,1854.0,200
2022-01-01,1d421fff86,3678.0,550
2022-01-01,c180960ca0,15905.0,940
2022-01-01,64431f24e7,10695.0,120
2022-01-01,691e31d2c9,16744.0,50
2022-01-01,f3f20b943b,10695.0,40
2022-01-01,378f1ff322,15985.0,100
2022-01-01,1c0dcc088a,15986.0,100
2022-01-01,b9068982fc,13964.0,120
2022-01-01,6505791ff7,15863.0,80
2022-01-01,2fc50c8ba4,9921.0,190
2022-01-01,f7b826994b,9921.0,200
2022-01-01,28697dd076,12636.0,980
2022-01-01,82d888f761,7395.0,75
2022-01-01,a4a526d958,12346.0,295
2022-01-01,987afd43bd,7128.0,240
2022-01-01,d499303c8c,7395.0,75
2022-01-01,160c911efd,1551.0,300
2022-01-01,1e1addcc53,11207.0,100
2022-01-01,601145b901,17494.0,60
2022-01-01,554a1c7603,7108.0,90
2022-01-01,d4bb3fc5a7,1019.0,120
2022-01-01,765fdf629f,6372.0,100
2022-01-01,9bd504b92b,915.0,200
2022-01-01,f85a48aa3b,915.0,500
2022-01-01,6f043e0f5c,17077.0,50
2022-01-01,2c3eb4a7f1,563.0,150
2022-01-01,32bf64dcf4,6307.0,40
2022-01-01,ecad2e2949,17262.0,1100
2022-01-01,820cd00732,9824.0,650
2022-01-01,8b2629db3a,4110.0,100
2022-01-01,bc9ba64ad3,4110.0,60
2022-01-01,7de6703ea8,7438.0,300
2022-01-01,eb0dea57e5,17187.0,35
2022-01-01,751c114343,17496.0,300
2022-01-01,31ec308b1c,11812.0,900
2022-01-01,4a3cf6f7e8,609.0,550
2022-01-01,178957fdb7,17496.0,120
2022-01-01,19fe5d59a5,8752.0,2900
2022-01-01,14568292a4,5630.0,995
2022-01-01,1f4d264cd5,14667.0,50
2022-01-01,72b405d119,644.0,950
2022-01-01,484445f30f,11956.0,1200
2022-01-01,7de5f32a16,11473.0,20
2022-01-01,92d28dda3f,15646.0,300
2022-01-01,b3c0897fbd,10510.0,120
2022-01-01,37f7e918fb,10511.0,100
2022-01-01,7f57066407,721.0,40
2022-01-01,114697364b,5501.0,250
2022-01-01,a9ddcb9191,9893.0,70
2022-01-01,1a563f4894,9893.0,70
2022-01-01,83bd5e18e3,17506.0,50
2022-01-01,9ff75e3498,16133.0,900
2022-01-01,3afd662da1,10859.0,160
2022-01-01,23be9ee209,10128.0,50
2022-01-01,7ccf5c7ab5,17510.0,400
2022-01-01,d1dc35a00b,15747.0,65
2022-01-01,1f7465751b,16947.0,50
2022-01-01,fb9306a981,2797.0,100
2022-01-01,aade443f52,6847.0,20
2022-01-01,1ca725bbf0,8506.0,20
2022-01-01,be51dbe0ed,4295.0,20
2022-01-01,d217c59182,17511.0,100
2022-01-01,8c5ee5921e,17512.0,60
2022-01-01,5b53393cbb,15313.0,40
2022-01-01,830d967362,17513.0,40
2022-01-01,749ce2179b,17514.0,20
2022-01-01,554febe80a,17513.0,50
2022-01-01,6bb2a838b3,17311.0,40
2022-01-01,902a58d162,3831.0,60
2022-01-01,79ac2cd661,17061.0,20
2022-01-01,c7dcbf3807,17325.0,20
2022-01-01,afe9782b14,3678.0,300
2022-01-02,8bd7cad1f8,14875.0,100
2022-01-02,1189810207,14875.0,100
2022-01-02,a578703a53,17063.0,25
2022-01-02,231ebcc116,12291.0,20
2022-01-02,95e48cfa26,15169.0,20
2022-01-02,4e91fec1ac,6825.0,140
2022-01-02,289efd262d,17518.0,100
2022-01-02,13e4b7b505,15747.0,100
2022-01-02,34fc0046f6,17061.0,40
2022-01-02,e5d47fbe1b,17061.0,20
2022-01-02,e5bea06a31,12346.0,400
2022-01-02,e9db88b243,17067.0,830
2022-01-02,fa24733c2f,73.0,340
2022-01-02,69b8c53254,2188.0,700
2022-01-02,6aa3265093,4389.0,60
2022-01-02,ad017adb66,781.0,310
2022-01-02,912ff8fa84,17469.0,2000
2022-01-02,f9965f7f1d,9929.0,950
2022-01-02,167846f20f,17513.0,50
2022-01-02,b47031be82,17513.0,50
2022-01-02,f117af52d9,3678.0,4000
2022-01-02,fabbba3129,2478.0,70
2022-01-02,e0e4eaebbd,8956.0,300
2022-01-02,f1b568a8ec,11148.0,100
2022-01-02,21fc07e9e8,17385.0,500
2022-01-02,12c8da5033,7621.0,80
2022-01-02,12e3617d3d,1431.0,1600
2022-01-02,c9bcbf21b1,2939.0,500
2022-01-02,eda754edee,16688.0,1000
2022-01-02,8fb7d2b1f2,16710.0,240
2022-01-02,1817be9dae,14265.0,20
2022-01-02,4ef50107c8,16480.0,600
2022-01-02,f4685f7389,17522.0,980
2022-01-02,852e0e8d56,14514.0,5000
2022-01-02,1129237a2f,14514.0,2450
2022-01-02,b3bbe6f407,10527.0,980
2022-01-02,12d341013c,15050.0,160
2022-01-02,37fc5024f2,13062.0,200
2022-01-02,7680f31091,17222.0,900
2022-01-02,7907747aa0,7082.0,240
2022-01-02,413b2a5794,56.0,350
2022-01-02,a8d8da2558,15279.0,1000
2022-01-02,c79cfec8a2,5283.0,80
2022-01-02,80124dfaec,2478.0,270
2022-01-02,92483023f0,8409.0,60
2022-01-02,bdfff5271b,3678.0,2600
2022-01-02,23de266eaa,3678.0,200
2022-01-02,c5826c3246,951.0,980
2022-01-02,4080d7b30e,17526.0,340
2022-01-02,9b1fe17974,15250.0,540
2022-01-02,3220d3aba0,7900.0,200
2022-01-02,1caaee15e4,721.0,150
2022-01-02,e7fece900b,11091.0,350
2022-01-02,fe0d6a9f69,4020.0,310
2022-01-02,adc9c12690,4889.0,40
2022-01-02,5445fa1506,16623.0,120
2022-01-02,c89fafa532,9150.0,950
2022-01-02,407c560c2a,9343.0,20
2022-01-02,b9adfc8202,8752.0,2000
2022-01-02,54b71fdca2,1524.0,210
2022-01-02,dc305d3d9f,17529.0,100
2022-01-02,ae48b73997,16838.0,55
2022-01-02,72cfdb2337,644.0,250
2022-01-02,afebc28846,17360.0,40
2022-01-02,e05509189a,1598.0,200
2022-01-02,e6a16870c9,17530.0,60
2022-01-02,920b6b2017,1598.0,100
2022-01-02,fc6ef545dc,10511.0,200
2022-01-02,b5c6c3c1ad,10540.0,400
