Date,Invoice,Customer,Cash
2022-02-26,8dffd7ad1c,11454.0,9000
2022-02-19,7350332806,18975.0,8000
2022-02-17,ff489f3608,735.0,8500
2022-02-16,fc574d1f5c,15868.0,9000
2022-02-15,d8450958f7,18449.0,9400
2022-02-10,81151df755,18284.0,9000
2022-02-05,a61fe3c55d,18474.0,9700
2022-02-02,7ff23ed70b,18474.0,8300
2022-01-31,3427131505,18244.0,9000
2022-01-28,f0f3658807,10082.0,9000
2022-01-26,d475c0590d,15429.0,8000
2022-01-21,d5f8f840eb,14852.0,9000
2022-01-20,dcf4dde621,1306.0,9800
2022-01-19,6e72e7ba4a,10270.0,8000
2022-01-18,04c0175fee,13919.0,9900
2022-01-16,1f0b096757,12605.0,9000
2022-01-12,e19e169ab2,9652.0,8980
2022-01-12,039ec4e539,16480.0,9900
2022-01-07,92bf9b8718,8752.0,8200
2022-01-04,1880850c86,15429.0,9500
2022-01-04,4db0db29bb,11326.0,8000
