Transaction Identifier,Date of Discovery,"Discovery Method (Staff, Sales Agent, System Alert)",Compliance Reviewer,Transaction Description,Was the transaction completed?,Is the transaction suspicious?,Why was the transaction considered to be suspicious OR considered not to be suspicious?,FINTRAC Report Number,Date that the transaction was deemed to be suspicious,FINTRAC Reporting Date,Follow-up Activity,Customer #,CAD,tx date
46f0dc3118,"January 1, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 1, 2022",redacted,redacted,11326.0,11000,
1880850c86,"January 4, 2022",staff,redacted,under 10k,yes,no,"This transaction was made by a customer who frequently conducts small transactions, and is now spending significantly more. However the transaction is not reportabl since they are below 10k.",redacted,,redacted,redacted,15429.0,9500,"January 4, 2022"
696ba14799,"January 4, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 4, 2022",redacted,redacted,1545.0,20000,"January 4, 2022"
5ea76bb688,"January 4, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 4, 2022",redacted,redacted,9652.0,21000,"January 4, 2022"
3e238c5d7e,"January 5, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 5, 2022",redacted,redacted,9652.0,10000,"January 5, 2022"
513e21ba0f,"January 5, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 5, 2022",redacted,redacted,6525.0,7000,"January 5, 2022"
97a503f25e,"January 5, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 5, 2022",redacted,redacted,6525.0,6500,"January 5, 2022"
212dfc23c5 ,"January 6, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 6, 2022",redacted,redacted,9652.0,11000,"January 6, 2022"
95ac13d741,"January 6, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 6, 2022",redacted,redacted,14514.0,12950,"January 6, 2022"
423b2433d2,"January 7, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 7, 2022",redacted,redacted,9652.0,11000,"January 7, 2022"
dee7f408d8,"January 8, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 8, 2022",redacted,redacted,9652.0,11000,"January 8, 2022"
1dfab9d72f,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,5109.0,2000,2021-09-10
9cb8e75762,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,10481.0,38000,2021-10-08
afd588ae96,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1545.0,9700,2021-11-22
5431ffa16b,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1545.0,37000,2021-11-22
9edadeb59e,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,16003.0,5000,2021-11-19
a863a03093,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1648.0,2000,2021-12-13
d8d5f5baa9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,12546.0,3000,2021-10-07
ca92678273,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1543.0,500,2021-11-30
300fc5eb66,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,7546.0,11300,2021-07-06
fed39fff95,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598.0,700,2021-11-17
c6769e6bee,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598.0,1350,2021-11-17
d48a0af92c,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598.0,600,2021-11-17
c861fd19f7,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598.0,750,2021-11-17
3f6b285059,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1543.0,1200,2021-09-15
bd9117d1d9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538.0,1500,2021-10-13
fe205eb68a,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538.0,1500,2021-10-13
02589c9d2f,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538.0,1500,2021-10-13
3971fce645,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538.0,1500,2021-10-13
98c5aa7ec6,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538.0,1500,2021-10-13
27ce7ffb70,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538.0,1500,2021-10-13
b547984cd7,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,731.0,755,2021-08-30
